site_id,direction,day,hour,latitude,longitude,actual_count,predicted_count,signed_error
112,in,15,14,51.135498,4.939479,7.0,11.915368717657918,-4.915368717657918
112,in,15,15,51.135498,4.939479,26.0,16.44512160308229,9.554878396917712
112,in,15,16,51.135498,4.939479,20.0,16.44512160308229,3.5548783969177116
112,in,15,17,51.135498,4.939479,20.0,11.915368717657918,8.084631282342082
112,in,15,18,51.135498,4.939479,4.0,11.915368717657918,-7.915368717657918
112,in,15,19,51.135498,4.939479,4.0,4.313370539378161,-0.31337053937816073
112,in,15,20,51.135498,4.939479,5.0,4.066322041547647,0.9336779584523534
112,in,15,21,51.135498,4.939479,9.0,5.958531164636506,3.041468835363494
112,in,15,22,51.135498,4.939479,4.0,11.097786434835063,-7.097786434835063
112,in,15,23,51.135498,4.939479,0.0,1.6190474532248473,-1.6190474532248473
112,out,15,0,51.135498,4.939479,1.0,1.475270252968747,-0.4752702529687469
112,out,15,1,51.135498,4.939479,0.0,1.1335478422085346,-1.1335478422085346
112,out,15,2,51.135498,4.939479,0.0,0.9628456288087281,-0.9628456288087281
112,out,15,3,51.135498,4.939479,0.0,1.1296338729770605,-1.1296338729770605
112,out,15,4,51.135498,4.939479,3.0,3.342068964442363,-0.3420689644423631
112,out,15,5,51.135498,4.939479,4.0,12.72832168729253,-8.72832168729253
112,out,15,6,51.135498,4.939479,5.0,12.215898674010937,-7.215898674010937
112,out,15,7,51.135498,4.939479,12.0,11.915368717657918,0.08463128234208206
112,out,15,8,51.135498,4.939479,7.0,11.915368717657918,-4.915368717657918
112,out,15,9,51.135498,4.939479,1.0,11.915368717657918,-10.915368717657918
112,out,15,10,51.135498,4.939479,4.0,11.915368717657918,-7.915368717657918
112,out,15,11,51.135498,4.939479,2.0,11.915368717657918,-9.915368717657918
112,out,15,12,51.135498,4.939479,4.0,11.915368717657918,-7.915368717657918
112,out,15,13,51.135498,4.939479,6.0,11.915368717657918,-5.915368717657918
112,out,15,14,51.135498,4.939479,25.0,11.915368717657918,13.084631282342082
112,out,15,15,51.135498,4.939479,7.0,16.44512160308229,-9.445121603082288
112,out,15,16,51.135498,4.939479,20.0,16.44512160308229,3.5548783969177116
112,out,15,17,51.135498,4.939479,5.0,11.915368717657918,-6.915368717657918
112,out,15,18,51.135498,4.939479,9.0,11.915368717657918,-2.915368717657918
112,out,15,19,51.135498,4.939479,2.0,4.313370539378161,-2.3133705393781607
112,out,15,20,51.135498,4.939479,2.0,4.066322041547647,-2.0663220415476466
112,out,15,21,51.135498,4.939479,5.0,5.958531164636506,-0.958531164636506
112,out,15,22,51.135498,4.939479,14.0,11.097786434835063,2.902213565164937
112,out,15,23,51.135498,4.939479,1.0,1.6190474532248473,-0.6190474532248473
113,in,15,0,50.96018,3.55578,0.0,0.256726102139503,-0.256726102139503
113,in,15,1,50.96018,3.55578,0.0,0.1969730495580473,-0.1969730495580473
113,in,15,2,50.96018,3.55578,0.0,0.18752239477946123,-0.18752239477946123
113,in,15,3,50.96018,3.55578,0.0,0.18874285197452967,-0.18874285197452967
113,in,15,4,50.96018,3.55578,4.0,1.0074416258508065,2.9925583741491932
113,in,15,5,50.96018,3.55578,1.0,2.031055303648303,-1.0310553036483028
113,in,15,6,50.96018,3.55578,6.0,4.858550082539771,1.1414499174602293
113,in,15,7,50.96018,3.55578,18.0,10.59399241276078,7.40600758723922
113,in,15,8,50.96018,3.55578,16.0,6.791287652556594,9.208712347443406
113,in,15,9,50.96018,3.55578,3.0,3.1710920407108945,-0.17109204071089446
113,in,15,10,50.96018,3.55578,4.0,3.1710920407108945,0.8289079592891055
113,in,15,11,50.96018,3.55578,0.0,3.206836577240913,-3.206836577240913
113,in,15,12,50.96018,3.55578,5.0,4.8795692443915675,0.12043075560843253
113,in,15,13,50.96018,3.55578,3.0,7.725815076781588,-4.725815076781588
113,in,15,14,50.96018,3.55578,4.0,8.119102621923247,-4.119102621923247
113,in,15,15,50.96018,3.55578,16.0,9.906737297890434,6.093262702109566
113,in,15,16,50.96018,3.55578,11.0,11.56888930185389,-0.5688893018538899
113,in,15,17,50.96018,3.55578,12.0,11.56888930185389,0.43111069814611014
113,in,15,18,50.96018,3.55578,6.0,6.053274824356046,-0.05327482435604569
113,in,15,19,50.96018,3.55578,10.0,3.6818447613240273,6.318155238675972
113,in,15,20,50.96018,3.55578,4.0,3.456984444599615,0.5430155554003848
113,in,15,21,50.96018,3.55578,3.0,3.2921505380413123,-0.2921505380413123
113,in,15,22,50.96018,3.55578,1.0,1.2015516525880878,-0.20155165258808783
113,in,15,23,50.96018,3.55578,0.0,0.7422136198933876,-0.7422136198933876
113,out,15,0,50.96018,3.55578,0.0,0.256726102139503,-0.256726102139503
113,out,15,1,50.96018,3.55578,0.0,0.1969730495580473,-0.1969730495580473
113,out,15,2,50.96018,3.55578,0.0,0.18752239477946123,-0.18752239477946123
113,out,15,3,50.96018,3.55578,0.0,0.18874285197452967,-0.18874285197452967
113,out,15,4,50.96018,3.55578,0.0,1.0074416258508065,-1.0074416258508065
113,out,15,5,50.96018,3.55578,0.0,2.031055303648303,-2.031055303648303
113,out,15,6,50.96018,3.55578,3.0,4.858550082539771,-1.8585500825397707
113,out,15,7,50.96018,3.55578,2.0,10.59399241276078,-8.59399241276078
113,out,15,8,50.96018,3.55578,2.0,6.791287652556594,-4.791287652556594
113,out,15,9,50.96018,3.55578,1.0,3.1710920407108945,-2.1710920407108945
113,out,15,10,50.96018,3.55578,2.0,3.1710920407108945,-1.1710920407108945
113,out,15,11,50.96018,3.55578,1.0,3.206836577240913,-2.206836577240913
113,out,15,12,50.96018,3.55578,15.0,4.8795692443915675,10.120430755608432
113,out,15,13,50.96018,3.55578,10.0,7.725815076781588,2.274184923218412
113,out,15,14,50.96018,3.55578,7.0,8.119102621923247,-1.119102621923247
113,out,15,15,50.96018,3.55578,12.0,9.906737297890434,2.093262702109566
113,out,15,16,50.96018,3.55578,18.0,11.56888930185389,6.43111069814611
113,out,15,17,50.96018,3.55578,11.0,11.56888930185389,-0.5688893018538899
113,out,15,18,50.96018,3.55578,4.0,6.053274824356046,-2.0532748243560457
113,out,15,19,50.96018,3.55578,5.0,3.6818447613240273,1.3181552386759727
113,out,15,20,50.96018,3.55578,2.0,3.456984444599615,-1.4569844445996152
113,out,15,21,50.96018,3.55578,7.0,3.2921505380413123,3.7078494619586877
113,out,15,22,50.96018,3.55578,0.0,1.2015516525880878,-1.2015516525880878
113,out,15,23,50.96018,3.55578,0.0,0.7422136198933876,-0.7422136198933876
114,in,15,0,50.95983,3.555502,0.0,0.056665738950058955,-0.056665738950058955
114,in,15,1,50.95983,3.555502,0.0,0.061561874218012534,-0.061561874218012534
114,in,15,2,50.95983,3.555502,0.0,0.06491757569890388,-0.06491757569890388
114,in,15,3,50.95983,3.555502,0.0,0.07055251655901996,-0.07055251655901996
114,in,15,4,50.95983,3.555502,0.0,0.7718092221888668,-0.7718092221888668
114,in,15,5,50.95983,3.555502,0.0,1.4026360537577913,-1.4026360537577913
114,in,15,6,50.95983,3.555502,1.0,1.543717074989832,-0.5437170749898319
114,in,15,7,50.95983,3.555502,1.0,4.074490058325337,-3.0744900583253374
114,in,15,8,50.95983,3.555502,0.0,3.676315452407474,-3.676315452407474
114,in,15,9,50.95983,3.555502,0.0,1.00898681079507,-1.00898681079507
114,in,15,10,50.95983,3.555502,0.0,0.7169243000844411,-0.7169243000844411
114,in,15,11,50.95983,3.555502,0.0,0.6917065425247805,-0.6917065425247805
114,in,15,12,50.95983,3.555502,2.0,1.6976431874214533,0.30235681257854674
114,in,15,13,50.95983,3.555502,0.0,1.6992791005725025,-1.6992791005725025
114,in,15,14,50.95983,3.555502,7.0,1.6992791005725025,5.300720899427498
114,in,15,15,50.95983,3.555502,2.0,1.6563281867565751,0.3436718132434249
114,in,15,16,50.95983,3.555502,8.0,3.7102928447554415,4.2897071552445585
114,in,15,17,50.95983,3.555502,9.0,3.7102928447554415,5.2897071552445585
114,in,15,18,50.95983,3.555502,4.0,1.1674817874128927,2.8325182125871073
114,in,15,19,50.95983,3.555502,2.0,0.5678053397493623,1.4321946602506377
114,in,15,20,50.95983,3.555502,0.0,0.5678426193021402,-0.5678426193021402
114,in,15,21,50.95983,3.555502,0.0,0.14902633268498366,-0.14902633268498366
114,in,15,22,50.95983,3.555502,1.0,0.8145995330932837,0.1854004669067163
114,in,15,23,50.95983,3.555502,0.0,0.003429146117050132,-0.003429146117050132
114,out,15,0,50.95983,3.555502,0.0,0.056665738950058955,-0.056665738950058955
114,out,15,1,50.95983,3.555502,0.0,0.061561874218012534,-0.061561874218012534
114,out,15,2,50.95983,3.555502,0.0,0.06491757569890388,-0.06491757569890388
114,out,15,3,50.95983,3.555502,0.0,0.07055251655901996,-0.07055251655901996
114,out,15,4,50.95983,3.555502,0.0,0.7718092221888668,-0.7718092221888668
114,out,15,5,50.95983,3.555502,5.0,1.4026360537577913,3.5973639462422087
114,out,15,6,50.95983,3.555502,4.0,1.543717074989832,2.456282925010168
114,out,15,7,50.95983,3.555502,6.0,4.074490058325337,1.9255099416746626
114,out,15,8,50.95983,3.555502,11.0,3.676315452407474,7.323684547592526
114,out,15,9,50.95983,3.555502,2.0,1.00898681079507,0.9910131892049301
114,out,15,10,50.95983,3.555502,0.0,0.7169243000844411,-0.7169243000844411
114,out,15,11,50.95983,3.555502,0.0,0.6917065425247805,-0.6917065425247805
114,out,15,12,50.95983,3.555502,1.0,1.6976431874214533,-0.6976431874214533
114,out,15,13,50.95983,3.555502,2.0,1.6992791005725025,0.30072089942749747
114,out,15,14,50.95983,3.555502,1.0,1.6992791005725025,-0.6992791005725025
114,out,15,15,50.95983,3.555502,0.0,1.6563281867565751,-1.6563281867565751
114,out,15,16,50.95983,3.555502,2.0,3.7102928447554415,-1.7102928447554415
114,out,15,17,50.95983,3.555502,2.0,3.7102928447554415,-1.7102928447554415
114,out,15,18,50.95983,3.555502,0.0,1.1674817874128927,-1.1674817874128927
114,out,15,19,50.95983,3.555502,3.0,0.5678053397493623,2.4321946602506377
114,out,15,20,50.95983,3.555502,0.0,0.5678426193021402,-0.5678426193021402
114,out,15,21,50.95983,3.555502,0.0,0.14902633268498366,-0.14902633268498366
114,out,15,22,50.95983,3.555502,0.0,0.8145995330932837,-0.8145995330932837
114,out,15,23,50.95983,3.555502,0.0,0.003429146117050132,-0.003429146117050132
115,in,15,0,51.105835,3.435059,0.0,2.117511079614814,-2.117511079614814
115,in,15,1,51.105835,3.435059,1.0,1.0115255495023252,-0.011525549502325205
115,in,15,2,51.105835,3.435059,0.0,0.9617357627002053,-0.9617357627002053
115,in,15,3,51.105835,3.435059,0.0,0.9869571895952428,-0.9869571895952428
115,in,15,4,51.105835,3.435059,1.0,1.7514760788920472,-0.7514760788920472
115,in,15,5,51.105835,3.435059,4.0,5.415189244542705,-1.415189244542705
115,in,15,6,51.105835,3.435059,5.0,9.146318636939412,-4.146318636939412
115,in,15,7,51.105835,3.435059,11.0,12.873004490088915,-1.8730044900889151
115,in,15,8,51.105835,3.435059,5.0,12.735433554321022,-7.7354335543210215
115,in,15,9,51.105835,3.435059,7.0,12.735433554321022,-5.7354335543210215
115,in,15,10,51.105835,3.435059,5.0,17.53533379101499,-12.535333791014988
115,in,15,11,51.105835,3.435059,22.0,12.735433554321022,9.264566445678978
115,in,15,12,51.105835,3.435059,47.0,12.735433554321022,34.26456644567898
115,in,15,13,51.105835,3.435059,26.0,12.735433554321022,13.264566445678978
115,in,15,14,51.105835,3.435059,31.0,17.53533379101499,13.464666208985012
115,in,15,15,51.105835,3.435059,36.0,17.664463466857953,18.335536533142047
115,in,15,16,51.105835,3.435059,35.0,17.664463466857953,17.335536533142047
115,in,15,17,51.105835,3.435059,40.0,17.664463466857953,22.335536533142047
115,in,15,18,51.105835,3.435059,49.0,17.664463466857953,31.335536533142047
115,in,15,19,51.105835,3.435059,40.0,8.820138420830524,31.179861579169476
115,in,15,20,51.105835,3.435059,21.0,8.022737570026248,12.977262429973752
115,in,15,21,51.105835,3.435059,5.0,8.46152022769178,-3.4615202276917802
115,in,15,22,51.105835,3.435059,12.0,6.942065728582131,5.057934271417869
115,in,15,23,51.105835,3.435059,2.0,2.326141739771482,-0.3261417397714821
115,out,15,0,51.105835,3.435059,2.0,2.117511079614814,-0.11751107961481422
115,out,15,1,51.105835,3.435059,0.0,1.0115255495023252,-1.0115255495023252
115,out,15,2,51.105835,3.435059,0.0,0.9617357627002053,-0.9617357627002053
115,out,15,3,51.105835,3.435059,1.0,0.9869571895952428,0.013042810404757188
115,out,15,4,51.105835,3.435059,3.0,1.7514760788920472,1.2485239211079528
115,out,15,5,51.105835,3.435059,8.0,5.415189244542705,2.584810755457295
115,out,15,6,51.105835,3.435059,16.0,9.146318636939412,6.853681363060588
115,out,15,7,51.105835,3.435059,48.0,12.873004490088915,35.12699550991108
115,out,15,8,51.105835,3.435059,33.0,12.735433554321022,20.26456644567898
115,out,15,9,51.105835,3.435059,14.0,12.735433554321022,1.2645664456789785
115,out,15,10,51.105835,3.435059,19.0,17.53533379101499,1.4646662089850118
115,out,15,11,51.105835,3.435059,15.0,12.735433554321022,2.2645664456789785
115,out,15,12,51.105835,3.435059,13.0,12.735433554321022,0.26456644567897847
115,out,15,13,51.105835,3.435059,17.0,12.735433554321022,4.2645664456789785
115,out,15,14,51.105835,3.435059,28.0,17.53533379101499,10.464666208985012
115,out,15,15,51.105835,3.435059,21.0,17.664463466857953,3.3355365331420472
115,out,15,16,51.105835,3.435059,29.0,17.664463466857953,11.335536533142047
115,out,15,17,51.105835,3.435059,26.0,17.664463466857953,8.335536533142047
115,out,15,18,51.105835,3.435059,14.0,17.664463466857953,-3.6644634668579528
115,out,15,19,51.105835,3.435059,58.0,8.820138420830524,49.179861579169476
115,out,15,20,51.105835,3.435059,9.0,8.022737570026248,0.9772624299737522
115,out,15,21,51.105835,3.435059,24.0,8.46152022769178,15.53847977230822
115,out,15,22,51.105835,3.435059,4.0,6.942065728582131,-2.942065728582131
115,out,15,23,51.105835,3.435059,0.0,2.326141739771482,-2.326141739771482
116,in,15,0,50.99861,3.80406,0.0,0.7635879857285539,-0.7635879857285539
116,in,15,1,50.99861,3.80406,1.0,0.2505712890865723,0.7494287109134277
116,in,15,2,50.99861,3.80406,0.0,0.24788118824885597,-0.24788118824885597
116,in,15,3,50.99861,3.80406,0.0,0.24788118824885597,-0.24788118824885597
116,in,15,4,50.99861,3.80406,0.0,0.2636769619757197,-0.2636769619757197
116,in,15,5,50.99861,3.80406,3.0,1.1404776957024025,1.8595223042975975
116,in,15,6,50.99861,3.80406,3.0,2.6786851169088197,0.3213148830911803
116,in,15,7,50.99861,3.80406,5.0,7.561182751696828,-2.561182751696828
116,in,15,8,50.99861,3.80406,16.0,15.316526501184399,0.6834734988156015
116,in,15,9,50.99861,3.80406,9.0,7.116237008613901,1.8837629913860994
116,in,15,10,50.99861,3.80406,8.0,7.116237008613901,0.8837629913860994
116,in,15,11,50.99861,3.80406,28.0,7.540740518562402,20.4592594814376
116,in,15,12,50.99861,3.80406,43.0,8.78472467454207,34.21527532545793
116,in,15,13,50.99861,3.80406,9.0,11.73857671367281,-2.73857671367281
116,in,15,14,50.99861,3.80406,17.0,11.73857671367281,5.26142328632719
116,in,15,15,50.99861,3.80406,18.0,14.746781517023885,3.2532184829761146
116,in,15,16,50.99861,3.80406,28.0,14.746781517023885,13.253218482976115
116,in,15,17,50.99861,3.80406,30.0,14.746781517023885,15.253218482976115
116,in,15,18,50.99861,3.80406,31.0,10.203101200205964,20.796898799794036
116,in,15,19,50.99861,3.80406,26.0,6.6505972662041275,19.349402733795873
116,in,15,20,50.99861,3.80406,3.0,6.12682497512701,-3.1268249751270103
116,in,15,21,50.99861,3.80406,13.0,4.5337729800261295,8.466227019973871
116,in,15,22,50.99861,3.80406,7.0,3.6530025952583274,3.3469974047416726
116,in,15,23,50.99861,3.80406,0.0,1.351165475201102,-1.351165475201102
116,out,15,0,50.99861,3.80406,0.0,0.7635879857285539,-0.7635879857285539
116,out,15,1,50.99861,3.80406,0.0,0.2505712890865723,-0.2505712890865723
116,out,15,2,50.99861,3.80406,0.0,0.24788118824885597,-0.24788118824885597
